Cod_Cliente,Tipo_Id,Num_Id,Nombre_Completo,Correo,Estado,Fecha_Registro
C-000,NIT,999999999,CONSUMIDOR FINAL,noreply@cliente.com,Activo,2023-01-10
C-001,NIT,222222222,CUANTIAS MENORES,,Activo,2023-05-15
C-002,CC,1020304050,Luis Gomez,lgomez22@gmail.com,Activo,2024-02-20
C-003,NIT,800111222,Empresa Ejemplo SAS,compras@ejemplo.com,Activo,2022-11-11
C-004,NIT,800111222,EMPRESA EJEMPLO S.A.S.,N/A,Inactivo,2021-06-05
C-5,CC,27199028,Cliente 5,contacto5@mail.com,Activo,2023-10-10
C-6,CC,84198372,Cliente 6,contacto6@mail.com,Activo,2023-10-10
C-7,CC,87003322,Cliente 7,contacto7@mail.com,Activo,2023-10-10
C-8,CC,11456816,Cliente 8,contacto8@mail.com,Activo,2023-10-10
C-9,CC,17422362,Cliente 9,contacto9@mail.com,Activo,2023-10-10
C-10,CC,91659081,Cliente 10,contacto10@mail.com,Activo,2023-10-10
C-11,CC,71716174,Cliente 11,contacto11@mail.com,Activo,2023-10-10
C-12,CC,14392510,Cliente 12,contacto12@mail.com,Activo,2023-10-10
C-13,CC,12355575,Cliente 13,contacto13@mail.com,Activo,2023-10-10
C-14,CC,57862407,Cliente 14,contacto14@mail.com,Activo,2023-10-10
C-15,CC,61795619,Cliente 15,contacto15@mail.com,Activo,2023-10-10
C-16,CC,82098375,Cliente 16,contacto16@mail.com,Activo,2023-10-10
C-17,CC,16956049,Cliente 17,contacto17@mail.com,Activo,2023-10-10
C-18,CC,77802024,Cliente 18,contacto18@mail.com,Activo,2023-10-10
C-19,CC,25902571,Cliente 19,contacto19@mail.com,Activo,2023-10-10
C-20,CC,35470775,Cliente 20,contacto20@mail.com,Activo,2023-10-10
C-21,CC,32773216,Cliente 21,contacto21@mail.com,Activo,2023-10-10
C-22,CC,24366445,Cliente 22,contacto22@mail.com,Activo,2023-10-10
C-23,CC,81222248,Cliente 23,contacto23@mail.com,Activo,2023-10-10
C-24,CC,45717600,Cliente 24,contacto24@mail.com,Activo,2023-10-10
C-25,CC,65774260,Cliente 25,contacto25@mail.com,Activo,2023-10-10
C-26,CC,33745007,Cliente 26,contacto26@mail.com,Activo,2023-10-10
C-27,CC,33775623,Cliente 27,contacto27@mail.com,Activo,2023-10-10
C-28,CC,35114077,Cliente 28,contacto28@mail.com,Activo,2023-10-10
C-29,CC,50176797,Cliente 29,contacto29@mail.com,Activo,2023-10-10
C-30,CC,84211592,Cliente 30,contacto30@mail.com,Activo,2023-10-10
C-31,CC,18736922,Cliente 31,contacto31@mail.com,Activo,2023-10-10
C-32,CC,47880755,Cliente 32,contacto32@mail.com,Activo,2023-10-10
C-33,CC,84425840,Cliente 33,contacto33@mail.com,Activo,2023-10-10
C-34,CC,37729646,Cliente 34,contacto34@mail.com,Activo,2023-10-10
C-35,CC,62613121,Cliente 35,contacto35@mail.com,Activo,2023-10-10
