ID_Empleado,Tipo_Doc,Documento,Nombres,Apellidos,Area,Estado,Email_Corp,Telefono
E001,CC,1020304050,Luis,Gomez,Compras,Activo,lgomez@empresa.com,3001234567
E002,CC,1122334455,Ana,Martinez,Tesoreria,Activo,amartinez@empresa.com,3007654321
E003,CC,5566778899,Carlos,Ruiz,Logistica,Inactivo,cruiz@empresa.com,3201112233
E003,CC,53210148,Emp3,Ape3,Operaciones,Activo,emp3@empresa.com,300111003
E004,CC,27887979,Emp4,Ape4,Operaciones,Activo,emp4@empresa.com,300111004
E005,CC,72421063,Emp5,Ape5,Operaciones,Activo,emp5@empresa.com,300111005
E006,CC,83982604,Emp6,Ape6,Operaciones,Activo,emp6@empresa.com,300111006
E007,CC,47982862,Emp7,Ape7,Operaciones,Activo,emp7@empresa.com,300111007
E008,CC,27728771,Emp8,Ape8,Operaciones,Activo,emp8@empresa.com,300111008
E009,CC,11562803,Emp9,Ape9,Operaciones,Activo,emp9@empresa.com,300111009
E0010,CC,35740292,Emp10,Ape10,Operaciones,Activo,emp10@empresa.com,3001110010
E0011,CC,99403892,Emp11,Ape11,Operaciones,Activo,emp11@empresa.com,3001110011
E0012,CC,89177542,Emp12,Ape12,Operaciones,Activo,emp12@empresa.com,3001110012
E0013,CC,43306264,Emp13,Ape13,Operaciones,Activo,emp13@empresa.com,3001110013
E0014,CC,87037388,Emp14,Ape14,Operaciones,Activo,emp14@empresa.com,3001110014
E0015,CC,30634757,Emp15,Ape15,Operaciones,Activo,emp15@empresa.com,3001110015
E0016,CC,62062074,Emp16,Ape16,Operaciones,Activo,emp16@empresa.com,3001110016
E0017,CC,27405467,Emp17,Ape17,Operaciones,Activo,emp17@empresa.com,3001110017
E0018,CC,23724541,Emp18,Ape18,Operaciones,Activo,emp18@empresa.com,3001110018
E0019,CC,66348147,Emp19,Ape19,Operaciones,Activo,emp19@empresa.com,3001110019
E0020,CC,12117199,Emp20,Ape20,Operaciones,Activo,emp20@empresa.com,3001110020
E0021,CC,47557130,Emp21,Ape21,Operaciones,Activo,emp21@empresa.com,3001110021
E0022,CC,97592414,Emp22,Ape22,Operaciones,Activo,emp22@empresa.com,3001110022
E0023,CC,31215689,Emp23,Ape23,Operaciones,Activo,emp23@empresa.com,3001110023
E0024,CC,35350267,Emp24,Ape24,Operaciones,Activo,emp24@empresa.com,3001110024
E0025,CC,22856367,Emp25,Ape25,Operaciones,Activo,emp25@empresa.com,3001110025
E0026,CC,30984455,Emp26,Ape26,Operaciones,Activo,emp26@empresa.com,3001110026
E0027,CC,50711990,Emp27,Ape27,Operaciones,Activo,emp27@empresa.com,3001110027
E0028,CC,20190890,Emp28,Ape28,Operaciones,Activo,emp28@empresa.com,3001110028
E0029,CC,73724793,Emp29,Ape29,Operaciones,Activo,emp29@empresa.com,3001110029
E0030,CC,42191133,Emp30,Ape30,Operaciones,Activo,emp30@empresa.com,3001110030
E0031,CC,98512912,Emp31,Ape31,Operaciones,Activo,emp31@empresa.com,3001110031
E0032,CC,83204561,Emp32,Ape32,Operaciones,Activo,emp32@empresa.com,3001110032
E0033,CC,50830731,Emp33,Ape33,Operaciones,Activo,emp33@empresa.com,3001110033
E0034,CC,51618872,Emp34,Ape34,Operaciones,Activo,emp34@empresa.com,3001110034
E0035,CC,95222268,Emp35,Ape35,Operaciones,Activo,emp35@empresa.com,3001110035
E0036,CC,56627448,Emp36,Ape36,Operaciones,Activo,emp36@empresa.com,3001110036
E0037,CC,53530474,Emp37,Ape37,Operaciones,Activo,emp37@empresa.com,3001110037
E0038,CC,81289006,Emp38,Ape38,Operaciones,Activo,emp38@empresa.com,3001110038
E0039,CC,52971296,Emp39,Ape39,Operaciones,Activo,emp39@empresa.com,3001110039
E0040,CC,97167853,Emp40,Ape40,Operaciones,Activo,emp40@empresa.com,3001110040
E0041,CC,67492703,Emp41,Ape41,Operaciones,Activo,emp41@empresa.com,3001110041
E0042,CC,35303185,Emp42,Ape42,Operaciones,Activo,emp42@empresa.com,3001110042
E0043,CC,15248492,Emp43,Ape43,Operaciones,Activo,emp43@empresa.com,3001110043
E0044,CC,19034943,Emp44,Ape44,Operaciones,Activo,emp44@empresa.com,3001110044
E0045,CC,60560185,Emp45,Ape45,Operaciones,Activo,emp45@empresa.com,3001110045
E0046,CC,45061743,Emp46,Ape46,Operaciones,Activo,emp46@empresa.com,3001110046
E0047,CC,38137828,Emp47,Ape47,Operaciones,Activo,emp47@empresa.com,3001110047
E0048,CC,91304194,Emp48,Ape48,Operaciones,Activo,emp48@empresa.com,3001110048
E0049,CC,36531803,Emp49,Ape49,Operaciones,Activo,emp49@empresa.com,3001110049
E0050,CC,88604349,Emp50,Ape50,Operaciones,Activo,emp50@empresa.com,3001110050
E0051,CC,79829711,Emp51,Ape51,Operaciones,Activo,emp51@empresa.com,3001110051
E0052,CC,18920073,Emp52,Ape52,Operaciones,Activo,emp52@empresa.com,3001110052
E0053,CC,32358280,Emp53,Ape53,Operaciones,Activo,emp53@empresa.com,3001110053
E0054,CC,15727196,Emp54,Ape54,Operaciones,Activo,emp54@empresa.com,3001110054
E0055,CC,40364945,Emp55,Ape55,Operaciones,Activo,emp55@empresa.com,3001110055
E0056,CC,40344964,Emp56,Ape56,Operaciones,Activo,emp56@empresa.com,3001110056
E0057,CC,86471381,Emp57,Ape57,Operaciones,Activo,emp57@empresa.com,3001110057
E0058,CC,39279531,Emp58,Ape58,Operaciones,Activo,emp58@empresa.com,3001110058
E0059,CC,17845315,Emp59,Ape59,Operaciones,Activo,emp59@empresa.com,3001110059

