NIT,Razon_Social,Representante_Legal,Doc_Rep_Legal,Email_Contacto,Telefono,Estado,Fecha_Ultima_OC
900888777,Suministros C&C SAS,Luis Gomez,1020304050,facturacion@sumcc.com,3001234567,Activo,2026-05-01
901222333,Consultores Estrategicos LTDA,Mario Vargas,88776655,amartinez@empresa.com,3007654321,Activo,2026-04-15
900555444,Logistica Nacional Express,,,,N/A,Activo,2026-01-20
900111222,Ruiz Distribuciones,Carlos Ruiz,5566778899,ventas@ruizdist.com,3201112233,Activo,2025-11-10
900222111,Distribuidora Andina SAS,Juan Diaz,100200300,N/A,3120000000,Inactivo,2026-05-28
900222111,DISTRIBUIDORA ANDINA S.A.S.,Juan Diaz,100200300,N/A,3120000000,Activo,2023-01-01
900127117,Prov 6,Rep 6,8886,,3000006,Activo,2026-01-01
900133894,Prov 7,Rep 7,8887,,3000007,Activo,2026-01-01
900612769,Prov 8,Rep 8,8888,,3000008,Activo,2026-01-01
900433826,Prov 9,Rep 9,8889,,3000009,Activo,2026-01-01
900103386,Prov 10,Rep 10,88810,,30000010,Activo,2026-01-01
900801272,Prov 11,Rep 11,88811,,30000011,Activo,2026-01-01
900975899,Prov 12,Rep 12,88812,,30000012,Activo,2026-01-01
900958542,Prov 13,Rep 13,88813,,30000013,Activo,2026-01-01
900643785,Prov 14,Rep 14,88814,,30000014,Activo,2026-01-01
900466704,Prov 15,Rep 15,88815,,30000015,Activo,2026-01-01
900203603,Prov 16,Rep 16,88816,,30000016,Activo,2026-01-01
900960249,Prov 17,Rep 17,88817,,30000017,Activo,2026-01-01
900862647,Prov 18,Rep 18,88818,,30000018,Activo,2026-01-01
900926588,Prov 19,Rep 19,88819,,30000019,Activo,2026-01-01
900787206,Prov 20,Rep 20,88820,,30000020,Activo,2026-01-01
900583627,Prov 21,Rep 21,88821,,30000021,Activo,2026-01-01
900288336,Prov 22,Rep 22,88822,,30000022,Activo,2026-01-01
900690872,Prov 23,Rep 23,88823,,30000023,Activo,2026-01-01
900269666,Prov 24,Rep 24,88824,,30000024,Activo,2026-01-01
900624803,Prov 25,Rep 25,88825,,30000025,Activo,2026-01-01
900725497,Prov 26,Rep 26,88826,,30000026,Activo,2026-01-01
900747353,Prov 27,Rep 27,88827,,30000027,Activo,2026-01-01
900590853,Prov 28,Rep 28,88828,,30000028,Activo,2026-01-01
900280634,Prov 29,Rep 29,88829,,30000029,Activo,2026-01-01
900683021,Prov 30,Rep 30,88830,,30000030,Activo,2026-01-01
900725805,Prov 31,Rep 31,88831,,30000031,Activo,2026-01-01
900964499,Prov 32,Rep 32,88832,,30000032,Activo,2026-01-01
900651610,Prov 33,Rep 33,88833,,30000033,Activo,2026-01-01
900288498,Prov 34,Rep 34,88834,,30000034,Activo,2026-01-01
900988786,Prov 35,Rep 35,88835,,30000035,Activo,2026-01-01
900792697,Prov 36,Rep 36,88836,,30000036,Activo,2026-01-01
900203530,Prov 37,Rep 37,88837,,30000037,Activo,2026-01-01
900425705,Prov 38,Rep 38,88838,,30000038,Activo,2026-01-01
900379521,Prov 39,Rep 39,88839,,30000039,Activo,2026-01-01

